layout_name,num_episodes,mean_reward,std_reward,min_reward,max_reward,win_rate,mean_final_score,mean_percent_food_eaten,mean_normalized_score,maxsteps_rate,color
easy_01,100.0,37.1879999999999,24.318002714038855,7.100000000000003,237.8999999999998,0.0,37.1879999999999,0.3934246575342466,0.25471232876712263,0.26,blue
medium_01,100.0,137.9529999999999,147.40834878323517,-7.999999999999965,618.7999999999997,0.0,137.9529999999999,0.24999999999999992,1.1790854700854692,0.22,blue
medium_02,100.0,159.04799999999986,142.43671891755963,-2.499999999999975,614.5999999999976,0.0,159.04799999999986,0.3361344537815125,1.3365378151260494,0.19,blue
hard_01,100.0,9.529999999999966,4.29244685465061,-4.099999999999998,15.799999999999988,0.0,9.529999999999962,0.2521875,0.09927083333333295,0.04,blue
hard_02,100.0,253.43699999999987,162.98655935689865,-12.199999999999982,812.5999999999984,0.0,253.43699999999987,0.24269565217391303,2.2037999999999984,0.14,blue
easy_02,100.0,-19.967000000000024,7.105266427094794,-33.60000000000008,-3.999999999999966,0.0,-19.967000000000024,0.029246575342465744,-0.13676027397260287,0.26,orange
medium_05,100.0,-15.985999999999988,4.305136931620169,-26.29999999999996,-8.3,0.0,-15.985999999999988,0.03097087378640776,-0.1552038834951455,0.21,orange
medium_06,100.0,-19.962999999999987,4.013991903330141,-29.500000000000007,-11.4,0.0,-19.962999999999987,0.00035398230088495576,-0.17666371681415924,0.23,orange
hard_05,100.0,-13.678999999999998,3.272714316893542,-22.99999999999997,-9.299999999999999,0.0,-13.678999999999998,0.01648648648648649,-0.12323423423423417,0.09,orange
hard_06,100.0,-12.719999999999997,1.7959955456514884,-21.99999999999997,-11.8,0.0,-12.72,0.0,-0.14790697674418604,0.0,orange
